available_on,swing_date,value,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows,seed_reason
2021-04-21 23:59:59.999000+00:00,2021-04-21 23:59:59.999000+00:00,53610.0,55536.07,1,1,0,1,post_confirmation_seed
2021-04-22 23:59:59.999000+00:00,2021-04-22 23:59:59.999000+00:00,50534.34,55536.07,5,5,0,"1,3,7,10,30",better_extreme
2021-04-23 23:59:59.999000+00:00,2021-04-23 23:59:59.999000+00:00,47546.16,55536.07,5,5,0,"1,3,7,10,30",better_extreme
2021-04-25 23:59:59.999000+00:00,2021-04-25 23:59:59.999000+00:00,46930.43,55536.07,5,5,0,"1,3,7,10,30",better_extreme
2021-05-15 23:59:59.999000+00:00,2021-05-15 23:59:59.999000+00:00,46584.32,46930.43,6,5,1,"1,3,7,10,30,90",post_confirmation_seed
2021-05-16 23:59:59.999000+00:00,2021-05-16 23:59:59.999000+00:00,43866.0,46930.43,6,5,1,"1,3,7,10,30,90",better_extreme
2021-05-17 23:59:59.999000+00:00,2021-05-17 23:59:59.999000+00:00,42151.0,46930.43,6,5,1,"1,3,7,10,30,90",better_extreme
2021-05-19 23:59:59.999000+00:00,2021-05-19 23:59:59.999000+00:00,28688.0,46930.43,7,5,2,"1,3,7,10,30,90,180",better_extreme
2021-06-22 23:59:59.999000+00:00,2021-06-22 23:59:59.999000+00:00,28780.01,30969.0,8,5,3,"1,3,7,10,30,90,180,300",better_extreme
2021-09-13 23:59:59.999000+00:00,2021-09-13 23:59:59.999000+00:00,43323.93,43938.38,5,5,0,"1,3,7,10,30",better_extreme
2021-09-25 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,41630.26,43323.93,2,2,0,"1,3",post_confirmation_seed
2021-09-26 23:59:59.999000+00:00,2021-09-26 23:59:59.999000+00:00,40725.01,43323.93,5,5,0,"1,3,7,10,30",better_extreme
2021-11-18 23:59:59.999000+00:00,2021-11-18 23:59:59.999000+00:00,56505.48,57865.0,5,5,0,"1,3,7,10,30",better_extreme
2021-11-19 23:59:59.999000+00:00,2021-11-19 23:59:59.999000+00:00,55604.0,57865.0,5,5,0,"1,3,7,10,30",better_extreme
2021-11-23 23:59:59.999000+00:00,2021-11-23 23:59:59.999000+00:00,55250.0,57865.0,5,5,0,"1,3,7,10,30",better_extreme
2021-11-26 23:59:59.999000+00:00,2021-11-26 23:59:59.999000+00:00,53500.0,57865.0,5,5,0,"1,3,7,10,30",better_extreme
2021-12-07 23:59:59.999000+00:00,2021-12-07 23:59:59.999000+00:00,50012.0,53500.0,0,0,0,,post_confirmation_seed
2021-12-08 23:59:59.999000+00:00,2021-12-08 23:59:59.999000+00:00,48533.33,53500.0,2,2,0,"1,3",better_extreme
2021-12-09 23:59:59.999000+00:00,2021-12-09 23:59:59.999000+00:00,47312.89,53500.0,2,2,0,"1,3",better_extreme
2021-12-10 23:59:59.999000+00:00,2021-12-10 23:59:59.999000+00:00,46828.23,53500.0,2,2,0,"1,3",better_extreme
2021-12-13 23:59:59.999000+00:00,2021-12-13 23:59:59.999000+00:00,45600.0,53500.0,3,3,0,"1,3,7",better_extreme
2022-01-04 23:59:59.999000+00:00,2022-01-04 23:59:59.999000+00:00,45445.57,45600.0,5,5,0,"1,3,7,10,30",better_extreme
2022-01-05 23:59:59.999000+00:00,2022-01-05 23:59:59.999000+00:00,42270.0,45600.0,5,5,0,"1,3,7,10,30",better_extreme
2022-01-07 23:59:59.999000+00:00,2022-01-07 23:59:59.999000+00:00,40456.56,45600.0,6,5,1,"1,3,7,10,30,90",better_extreme
2022-01-10 23:59:59.999000+00:00,2022-01-10 23:59:59.999000+00:00,39610.0,45600.0,6,5,1,"1,3,7,10,30,90",better_extreme
2022-01-21 23:59:59.999000+00:00,2022-01-21 23:59:59.999000+00:00,35380.92,39610.0,6,5,1,"1,3,7,10,30,90",better_extreme
2022-01-22 23:59:59.999000+00:00,2022-01-22 23:59:59.999000+00:00,33950.0,39610.0,7,5,2,"1,3,7,10,30,90,180",better_extreme
2022-01-24 23:59:59.999000+00:00,2022-01-24 23:59:59.999000+00:00,32853.83,39610.0,7,5,2,"1,3,7,10,30,90,180",better_extreme
2022-05-01 23:59:59.999000+00:00,2022-05-01 23:59:59.999000+00:00,37350.0,37500.0,5,5,0,"1,3,7,10,30",better_extreme
2022-05-11 23:59:59.999000+00:00,2022-05-11 23:59:59.999000+00:00,27651.0,37350.0,9,5,4,"1,3,7,10,30,90,180,300,365",post_confirmation_seed
2022-05-12 23:59:59.999000+00:00,2022-05-12 23:59:59.999000+00:00,26631.0,37350.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-06-12 23:59:59.999000+00:00,2022-06-12 23:59:59.999000+00:00,26538.7,27952.1,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-06-13 23:59:59.999000+00:00,2022-06-13 23:59:59.999000+00:00,21900.0,27952.1,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-06-14 23:59:59.999000+00:00,2022-06-14 23:59:59.999000+00:00,20823.0,27952.1,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-06-15 23:59:59.999000+00:00,2022-06-15 23:59:59.999000+00:00,20100.2,27952.1,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-06-18 23:59:59.999000+00:00,2022-06-18 23:59:59.999000+00:00,17593.2,27952.1,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-08-26 23:59:59.999000+00:00,2022-08-26 23:59:59.999000+00:00,20100.0,20689.6,5,5,0,"1,3,7,10,30",better_extreme
2022-08-27 23:59:59.999000+00:00,2022-08-27 23:59:59.999000+00:00,19744.0,20689.6,5,5,0,"1,3,7,10,30",better_extreme
2022-08-28 23:59:59.999000+00:00,2022-08-28 23:59:59.999000+00:00,19508.0,20689.6,5,5,0,"1,3,7,10,30",better_extreme
2022-09-06 23:59:59.999000+00:00,2022-09-06 23:59:59.999000+00:00,18600.0,20689.6,5,5,0,"1,3,7,10,30",better_extreme
2022-09-07 23:59:59.999000+00:00,2022-09-07 23:59:59.999000+00:00,18500.0,20689.6,5,5,0,"1,3,7,10,30",better_extreme
2022-09-21 23:59:59.999000+00:00,2022-09-21 23:59:59.999000+00:00,18084.3,18500.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-10-13 23:59:59.999000+00:00,2022-10-13 23:59:59.999000+00:00,17917.8,18084.3,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-11-08 23:59:59.999000+00:00,2022-11-08 23:59:59.999000+00:00,16830.0,17917.8,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-11-09 23:59:59.999000+00:00,2022-11-09 23:59:59.999000+00:00,15462.6,17917.8,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2023-03-09 23:59:59.999000+00:00,2023-03-09 23:59:59.999000+00:00,20003.5,21338.0,5,5,0,"1,3,7,10,30",better_extreme
2023-03-10 23:59:59.999000+00:00,2023-03-10 23:59:59.999000+00:00,19521.6,21338.0,5,5,0,"1,3,7,10,30",better_extreme
2023-05-13 23:59:59.999000+00:00,2023-05-13 23:59:59.999000+00:00,26674.9,26919.3,0,0,0,,post_confirmation_seed
2023-05-14 23:59:59.999000+00:00,2023-05-14 23:59:59.999000+00:00,26557.0,26919.3,1,1,0,1,better_extreme
2023-05-18 23:59:59.999000+00:00,2023-05-18 23:59:59.999000+00:00,26335.3,26919.3,2,2,0,"1,3",better_extreme
2023-06-05 23:59:59.999000+00:00,2023-06-05 23:59:59.999000+00:00,25360.1,26335.3,5,5,0,"1,3,7,10,30",post_confirmation_seed
2023-06-16 23:59:59.999000+00:00,2023-06-16 23:59:59.999000+00:00,25142.1,25360.1,6,5,1,"1,3,7,10,30,90",post_confirmation_seed
2023-07-18 23:59:59.999000+00:00,2023-07-18 23:59:59.999000+00:00,29400.0,29500.0,4,4,0,"1,3,7,10",better_extreme
2023-07-24 23:59:59.999000+00:00,2023-07-24 23:59:59.999000+00:00,28830.0,29500.0,5,5,0,"1,3,7,10,30",better_extreme
2023-08-01 23:59:59.999000+00:00,2023-08-01 23:59:59.999000+00:00,28550.0,29500.0,5,5,0,"1,3,7,10,30",better_extreme
2023-08-17 23:59:59.999000+00:00,2023-08-17 23:59:59.999000+00:00,24581.0,28550.0,6,5,1,"1,3,7,10,30,90",better_extreme
2024-01-19 23:59:59.999000+00:00,2024-01-19 23:59:59.999000+00:00,40300.0,40333.0,5,5,0,"1,3,7,10,30",better_extreme
2024-01-22 23:59:59.999000+00:00,2024-01-22 23:59:59.999000+00:00,39402.0,40333.0,5,5,0,"1,3,7,10,30",better_extreme
2024-01-23 23:59:59.999000+00:00,2024-01-23 23:59:59.999000+00:00,38545.0,40333.0,5,5,0,"1,3,7,10,30",better_extreme
2024-04-16 23:59:59.999000+00:00,2024-04-16 23:59:59.999000+00:00,61521.0,64603.2,1,1,0,1,post_confirmation_seed
2024-04-17 23:59:59.999000+00:00,2024-04-17 23:59:59.999000+00:00,59625.0,64603.2,5,5,0,"1,3,7,10,30",better_extreme
2024-04-30 23:59:59.999000+00:00,2024-04-30 23:59:59.999000+00:00,59150.0,59625.0,5,5,0,"1,3,7,10,30",better_extreme
2024-05-01 23:59:59.999000+00:00,2024-05-01 23:59:59.999000+00:00,56537.7,59625.0,5,5,0,"1,3,7,10,30",better_extreme
2024-06-11 23:59:59.999000+00:00,2024-06-11 23:59:59.999000+00:00,66000.0,66639.0,4,4,0,"1,3,7,10",better_extreme
2024-06-14 23:59:59.999000+00:00,2024-06-14 23:59:59.999000+00:00,65052.4,66639.0,4,4,0,"1,3,7,10",better_extreme
2024-06-18 23:59:59.999000+00:00,2024-06-18 23:59:59.999000+00:00,64009.8,66639.0,5,5,0,"1,3,7,10,30",better_extreme
2024-06-21 23:59:59.999000+00:00,2024-06-21 23:59:59.999000+00:00,63361.2,66639.0,5,5,0,"1,3,7,10,30",better_extreme
2024-06-23 23:59:59.999000+00:00,2024-06-23 23:59:59.999000+00:00,63137.9,66639.0,5,5,0,"1,3,7,10,30",better_extreme
2024-06-24 23:59:59.999000+00:00,2024-06-24 23:59:59.999000+00:00,58218.0,66639.0,5,5,0,"1,3,7,10,30",better_extreme
2024-07-08 23:59:59.999000+00:00,2024-07-08 23:59:59.999000+00:00,54243.1,58218.0,6,5,1,"1,3,7,10,30,90",post_confirmation_seed
2024-08-05 23:59:59.999000+00:00,2024-08-05 23:59:59.999000+00:00,48888.0,54243.1,6,5,1,"1,3,7,10,30,90",better_extreme
2024-09-04 23:59:59.999000+00:00,2024-09-04 23:59:59.999000+00:00,55555.0,55969.0,4,4,0,"1,3,7,10",better_extreme
2024-09-06 23:59:59.999000+00:00,2024-09-06 23:59:59.999000+00:00,52510.8,55969.0,5,5,0,"1,3,7,10,30",better_extreme
2024-12-20 23:59:59.999000+00:00,2024-12-20 23:59:59.999000+00:00,92272.6,94039.7,5,5,0,"1,3,7,10,30",post_confirmation_seed
2025-01-09 23:59:59.999000+00:00,2025-01-09 23:59:59.999000+00:00,91055.8,92272.6,5,5,0,"1,3,7,10,30",better_extreme
2025-01-13 23:59:59.999000+00:00,2025-01-13 23:59:59.999000+00:00,88909.0,92272.6,5,5,0,"1,3,7,10,30",better_extreme
2025-02-28 23:59:59.999000+00:00,2025-02-28 23:59:59.999000+00:00,78200.2,91130.3,6,5,1,"1,3,7,10,30,90",post_confirmation_seed
2025-03-10 23:59:59.999000+00:00,2025-03-10 23:59:59.999000+00:00,77410.1,78200.2,6,5,1,"1,3,7,10,30,90",post_confirmation_seed
2025-03-11 23:59:59.999000+00:00,2025-03-11 23:59:59.999000+00:00,76560.0,78200.2,6,5,1,"1,3,7,10,30,90",better_extreme
2025-04-07 23:59:59.999000+00:00,2025-04-07 23:59:59.999000+00:00,74457.0,76560.0,6,5,1,"1,3,7,10,30,90",better_extreme
2025-06-22 23:59:59.999000+00:00,2025-06-22 23:59:59.999000+00:00,98115.4,100305.1,5,5,0,"1,3,7,10,30",better_extreme
2025-08-24 23:59:59.999000+00:00,2025-08-24 23:59:59.999000+00:00,110484.0,111910.0,5,5,0,"1,3,7,10,30",better_extreme
2025-08-25 23:59:59.999000+00:00,2025-08-25 23:59:59.999000+00:00,109219.8,111910.0,5,5,0,"1,3,7,10,30",better_extreme
2025-08-26 23:59:59.999000+00:00,2025-08-26 23:59:59.999000+00:00,108559.7,111910.0,5,5,0,"1,3,7,10,30",better_extreme
2025-08-29 23:59:59.999000+00:00,2025-08-29 23:59:59.999000+00:00,107411.4,111910.0,5,5,0,"1,3,7,10,30",better_extreme
2025-10-10 23:59:59.999000+00:00,2025-10-10 23:59:59.999000+00:00,101516.5,108574.1,6,5,1,"1,3,7,10,30,90",better_extreme
2025-11-05 23:59:59.999000+00:00,2025-11-05 23:59:59.999000+00:00,98909.7,106360.3,7,5,2,"1,3,7,10,30,90,180",post_confirmation_seed
2025-11-18 23:59:59.999000+00:00,2025-11-18 23:59:59.999000+00:00,89012.0,98909.7,7,5,2,"1,3,7,10,30,90,180",post_confirmation_seed
2025-11-19 23:59:59.999000+00:00,2025-11-19 23:59:59.999000+00:00,88564.4,98909.7,7,5,2,"1,3,7,10,30,90,180",better_extreme
2025-11-20 23:59:59.999000+00:00,2025-11-20 23:59:59.999000+00:00,86066.6,98909.7,7,5,2,"1,3,7,10,30,90,180",better_extreme
2025-11-21 23:59:59.999000+00:00,2025-11-21 23:59:59.999000+00:00,80600.0,98909.7,7,5,2,"1,3,7,10,30,90,180",better_extreme
2026-01-20 23:59:59.999000+00:00,2026-01-20 23:59:59.999000+00:00,87787.2,89242.0,4,4,0,"1,3,7,10",better_extreme
2026-01-21 23:59:59.999000+00:00,2026-01-21 23:59:59.999000+00:00,87205.5,89242.0,5,5,0,"1,3,7,10,30",better_extreme
2026-01-25 23:59:59.999000+00:00,2026-01-25 23:59:59.999000+00:00,86021.7,89242.0,5,5,0,"1,3,7,10,30",better_extreme
2026-02-04 23:59:59.999000+00:00,2026-02-04 23:59:59.999000+00:00,71838.0,86021.7,9,5,4,"1,3,7,10,30,90,180,300,365",post_confirmation_seed
2026-02-05 23:59:59.999000+00:00,2026-02-05 23:59:59.999000+00:00,62233.3,86021.7,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2026-02-06 23:59:59.999000+00:00,2026-02-06 23:59:59.999000+00:00,59800.0,86021.7,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2026-03-27 23:59:59.999000+00:00,2026-03-27 23:59:59.999000+00:00,65501.0,65569.2,4,4,0,"1,3,7,10",better_extreme
2026-03-29 23:59:59.999000+00:00,2026-03-29 23:59:59.999000+00:00,64918.2,65569.2,4,4,0,"1,3,7,10",better_extreme
