window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS2_BULL25,oos2,LINK/USDT,LONG,2025-05-10T11:49:59.999000+00:00,2025-05-10T11:50:14.999000+00:00,2025-05-10T16:39:59.999000+00:00,4.83,16.081,16.740320999999998,16.740320999999998,15.775461,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 16.27, ""rsi"": 50.83, ""atr_ratio"": 1.031, ""pullback_depth"": 0.949, ""mom_slope"": 0.001564, ""reclaim_strength"": 0.428}"
OOS2_BULL25,oos2,NEAR/USDT,LONG,2025-05-10T11:49:59.999000+00:00,2025-05-10T11:50:14.999000+00:00,2025-05-10T17:24:59.999000+00:00,5.58,2.932,3.052212,3.052212,2.876292,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 26.11, ""rsi"": 51.5, ""atr_ratio"": 1.148, ""pullback_depth"": 0.892, ""mom_slope"": 0.0005, ""reclaim_strength"": 0.473}"
OOS2_BULL25,oos2,ALGO/USDT,LONG,2025-05-10T11:49:59.999000+00:00,2025-05-10T11:50:14.999000+00:00,2025-05-10T17:14:59.999000+00:00,5.41,0.2349,0.24453089999999997,0.24453089999999997,0.2304369,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 17.84, ""rsi"": 51.36, ""atr_ratio"": 1.128, ""pullback_depth"": 0.598, ""mom_slope"": 2.3e-05, ""reclaim_strength"": 0.893}"
OOS2_BULL25,oos2,RENDER/USDT,LONG,2025-05-10T11:49:59.999000+00:00,2025-05-10T11:50:14.999000+00:00,2025-05-10T17:09:59.999000+00:00,5.33,5.028,5.234147999999999,5.234147999999999,4.932467999999999,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 19.81, ""rsi"": 51.78, ""atr_ratio"": 1.033, ""pullback_depth"": 0.84, ""mom_slope"": 0.000993, ""reclaim_strength"": 1.793}"
OOS2_BULL25,oos2,ENA/USDT,LONG,2025-05-10T12:04:59.999000+00:00,2025-05-10T12:05:14.999000+00:00,2025-05-10T16:54:59.999000+00:00,4.83,0.3723,0.3875643,0.3875643,0.3652263,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 38.16, ""rsi"": 51.17, ""atr_ratio"": 1.078, ""pullback_depth"": 0.901, ""mom_slope"": 6e-05, ""reclaim_strength"": 0.512}"
OOS2_BULL25,oos2,SOL/USDT,LONG,2025-05-10T20:14:59.999000+00:00,2025-05-10T20:15:14.999000+00:00,2025-05-11T00:09:59.999000+00:00,3.91,172.1,179.15609999999998,179.15609999999998,168.8301,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 17.92, ""rsi"": 51.84, ""atr_ratio"": 0.878, ""pullback_depth"": 0.467, ""mom_slope"": 0.000333, ""reclaim_strength"": 1.467}"
OOS2_BULL25,oos2,XRP/USDT,LONG,2025-05-11T00:34:59.999000+00:00,2025-05-11T00:35:14.999000+00:00,2025-05-11T06:44:59.999000+00:00,6.16,2.4225,2.3764724999999998,2.5218225,2.3764724999999998,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.22, ""rsi"": 51.77, ""atr_ratio"": 1.124, ""pullback_depth"": 0.729, ""mom_slope"": 0.000333, ""reclaim_strength"": 1.911}"
OOS2_BULL25,oos2,ETH/USDT,LONG,2025-05-11T09:29:59.999000+00:00,2025-05-11T09:30:14.999000+00:00,2025-05-11T13:59:59.999000+00:00,4.5,2515.22,2467.4308199999996,2618.3440199999995,2467.4308199999996,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 29.59, ""rsi"": 52.19, ""atr_ratio"": 1.143, ""pullback_depth"": 0.064, ""mom_slope"": 0.380658, ""reclaim_strength"": 0.615}"
OOS2_BULL25,oos2,SOL/USDT,LONG,2025-05-11T09:34:59.999000+00:00,2025-05-11T09:35:14.999000+00:00,2025-05-11T13:59:59.999000+00:00,4.41,174.37,171.05697,181.51917,171.05697,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.21, ""rsi"": 50.79, ""atr_ratio"": 1.155, ""pullback_depth"": 0.463, ""mom_slope"": 0.020174, ""reclaim_strength"": 0.301}"
OOS2_BULL25,oos2,ETH/USDT,LONG,2025-05-12T01:44:59.999000+00:00,2025-05-12T01:45:14.999000+00:00,2025-05-12T07:34:59.999000+00:00,5.83,2504.84,2607.53844,2607.53844,2457.24804,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.09, ""rsi"": 50.91, ""atr_ratio"": 0.827, ""pullback_depth"": 1.304, ""mom_slope"": 0.005024, ""reclaim_strength"": 0.606}"
OOS2_BULL25,oos2,INJ/USDT,LONG,2025-05-12T01:44:59.999000+00:00,2025-05-12T01:45:14.999000+00:00,2025-05-12T06:34:59.999000+00:00,4.83,13.138,13.676658,13.676658,12.888378,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 17.36, ""rsi"": 51.09, ""atr_ratio"": 1.06, ""pullback_depth"": 0.6, ""mom_slope"": 0.001885, ""reclaim_strength"": 1.294}"
OOS2_BULL25,oos2,ENA/USDT,LONG,2025-05-12T05:39:59.999000+00:00,2025-05-12T05:40:14.999000+00:00,2025-05-12T07:09:59.999000+00:00,1.5,0.4123,0.4292043,0.4292043,0.4044663,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 18.86, ""rsi"": 50.73, ""atr_ratio"": 0.977, ""pullback_depth"": 0.319, ""mom_slope"": 3.7e-05, ""reclaim_strength"": 0.542}"
OOS2_BULL25,oos2,NEAR/USDT,LONG,2025-05-12T06:09:59.999000+00:00,2025-05-12T06:10:14.999000+00:00,2025-05-12T07:24:59.999000+00:00,1.25,3.172,3.3020519999999998,3.3020519999999998,3.111732,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.5, ""rsi"": 50.81, ""atr_ratio"": 0.905, ""pullback_depth"": 0.403, ""mom_slope"": 9e-06, ""reclaim_strength"": 1.414}"
